DATE,ODCNPI03DEQ156N
1979-01-01,29513.3333333333
1979-04-01,34750.6666666667
1979-07-01,33422
1979-10-01,30170.3333333333
1980-01-01,29801.3333333333
1980-04-01,33806.3333333333
1980-07-01,33196.6666666667
1980-10-01,30069
1981-01-01,27341.3333333333
1981-04-01,33705.6666666667
1981-07-01,31536.3333333333
1981-10-01,26094
1982-01-01,25680.3333333333
1982-04-01,29426.3333333333
1982-07-01,29414
1982-10-01,27092.3333333333
1983-01-01,28759
1983-04-01,39514.6666666667
1983-07-01,36765
1983-10-01,34817.6666666667
1984-01-01,30471.3333333333
1984-04-01,30513.3333333333
1984-07-01,29271.3333333333
1984-10-01,21825.6666666667
1985-01-01,19930
1985-04-01,23447
1985-07-01,22620.6666666667
1985-10-01,18119.3333333333
1986-01-01,16409.3333333333
1986-04-01,21684.3333333333
1986-07-01,20130.3333333333
1986-10-01,14833
1987-01-01,13089
1987-04-01,17509
1987-07-01,18237.6666666667
1987-10-01,14750.3333333333
1988-01-01,14331
1988-04-01,19672
1988-07-01,19726.6666666667
1988-10-01,17674.6666666667
1989-01-01,18074.6666666667
1989-04-01,24149
1989-07-01,24220
1989-10-01,25563.6666666667
1990-01-01,28352.3333333333
1990-04-01,34669.3333333333
1990-07-01,34249
1990-10-01,33178.3333333333
1991-01-01,29159.6666666667
1991-04-01,35034
1991-07-01,35620.3333333333
1991-10-01,33714.6666666667
1992-01-01,33241.3333333333
1992-04-01,38145
1992-07-01,41543
1992-10-01,40006.3333333333
1993-01-01,36189.3333333333
1993-04-01,45133
1993-07-01,47632.3333333333
1993-10-01,45739.6666666667
1994-01-01,51544.3333333333
1994-04-01,61016.6666666667
1994-07-01,61231
1994-10-01,63807.3333333333
1995-01-01,51903.3333333333
1995-04-01,54000.6666666667
1995-07-01,52882
1995-10-01,54247.6666666667
1996-01-01,45299.6666666667
1996-04-01,50638.6666666667
1996-07-01,48651
1996-10-01,47536
1997-01-01,41615.6666666667
1997-04-01,46512.3333333333
1997-07-01,44875
1997-10-01,43438
1998-01-01,33563.6666666667
1998-04-01,44247.6666666667
1998-07-01,41033
1998-10-01,40391.3333333333
1999-01-01,32656
1999-04-01,38924
1999-07-01,38151.6666666667
1999-10-01,36129.6666666667
2000-01-01,31134.6666666667
2000-04-01,29983.3333333333
2000-07-01,29484.6666666667
2000-10-01,25566.6666666667
2001-01-01,23542.6666666667
2001-04-01,26513.6666666667
2001-07-01,25310
2001-10-01,21661.6666666667
2002-01-01,21542.6666666667
2002-04-01,23946
2002-07-01,22478
2002-10-01,23406.6666666667
2003-01-01,29581.6666666667
2003-04-01,23323.6666666667
2003-07-01,21440
2003-10-01,24606
2004-01-01,29617
2004-04-01,21195.3333333333
2004-07-01,18675
2004-10-01,19887
2005-01-01,20318.3333333333
2005-04-01,18929
2005-07-01,19396
2005-10-01,21519.3333333333
2006-01-01,26404.6666666667
2006-04-01,20564.6666666667
2006-07-01,19061
2006-10-01,16483.3333333333
2007-01-01,13542.3333333333
2007-04-01,15648
2007-07-01,16128.3333333333
2007-10-01,15453.3333333333
2008-01-01,13446.6666666667
2008-04-01,15839.3333333333
2008-07-01,15044
2008-10-01,13868.3333333333
2009-01-01,11931
2009-04-01,14977.3333333333
2009-07-01,16039
2009-10-01,16365.6666666667
2010-01-01,13159
2010-04-01,15151
2010-07-01,17646.3333333333
2010-10-01,16599.3333333333
2011-01-01,16890.6666666667
2011-04-01,19308
2011-07-01,19701.6666666667
2011-10-01,20231.3333333333
2012-01-01,16344.6666666667
2012-04-01,21643
2012-07-01,21378
2012-10-01,20456
2013-01-01,18470.6666666667
2013-04-01,23154.6666666667
2013-07-01,25749
2013-10-01,22747
2014-01-01,21298
2014-04-01,24316.3333333333
2014-07-01,25236
2014-10-01,24100
2015-01-01,21642.6666666667
2015-04-01,25078.3333333333
2015-07-01,27545.6666666667
2015-10-01,28629.0
2016-01-01,28263.0
2016-04-01,32677.0
2016-07-01,31159.0
2016-10-01,33097.3333333333
2017-01-01,26383.6666666667
2017-04-01,30101.0
2017-07-01,29122.3333333333
2017-10-01,30435.6666666667
2018-01-01,25937.0
